Industry,Gender,Education,AgeGroup,Wage_Yen,Employees
Mining and quarrying of stone and gravel,Female,HighSchool,40-44,278500,100
Mining and quarrying of stone and gravel,Female,HighSchool,45-49,264600,150
Mining and quarrying of stone and gravel,Female,HighSchool,50-54,233800,110
Mining and quarrying of stone and gravel,Female,HighSchool,55-59,351400,140
Mining and quarrying of stone and gravel,Female,HighSchool,60-64,246400,50
Mining and quarrying of stone and gravel,Female,HighSchool,65-69,210100,50
Mining and quarrying of stone and gravel,Female,HighSchool,70+,201100,0
Mining and quarrying of stone and gravel,Female,VocationalSchool,0-19,,
Mining and quarrying of stone and gravel,Female,VocationalSchool,20-24,206600,10
Mining and quarrying of stone and gravel,Female,VocationalSchool,25-29,185000,10
Mining and quarrying of stone and gravel,Female,VocationalSchool,30-34,225800,0
Mining and quarrying of stone and gravel,Female,VocationalSchool,35-39,243200,10
Mining and quarrying of stone and gravel,Female,VocationalSchool,40-44,291800,50
Mining and quarrying of stone and gravel,Female,VocationalSchool,45-49,278300,30
Mining and quarrying of stone and gravel,Female,VocationalSchool,50-54,249700,50
Mining and quarrying of stone and gravel,Female,VocationalSchool,55-59,300400,50
Mining and quarrying of stone and gravel,Female,VocationalSchool,60-64,,
Mining and quarrying of stone and gravel,Female,VocationalSchool,65-69,474800,0
Mining and quarrying of stone and gravel,Female,VocationalSchool,70+,,
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,0-19,,
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,20-24,235200,30
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,25-29,,
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,30-34,230200,0
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,35-39,243800,20
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,40-44,263700,20
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,45-49,299600,60
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,50-54,371500,40
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,55-59,332100,30
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,60-64,244700,10
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,65-69,,
Mining and quarrying of stone and gravel,Female,TechnicalSchoolJuniorCollege,70+,160000,0
Mining and quarrying of stone and gravel,Female,University,0-19,,
Mining and quarrying of stone and gravel,Female,University,20-24,277500,30
Mining and quarrying of stone and gravel,Female,University,25-29,284300,100
Mining and quarrying of stone and gravel,Female,University,30-34,366100,80
Mining and quarrying of stone and gravel,Female,University,35-39,411600,60
Mining and quarrying of stone and gravel,Female,University,40-44,488100,60
Mining and quarrying of stone and gravel,Female,University,45-49,352200,40
Mining and quarrying of stone and gravel,Female,University,50-54,583300,30
Mining and quarrying of stone and gravel,Female,University,55-59,487700,20
Mining and quarrying of stone and gravel,Female,University,60-64,,
Mining and quarrying of stone and gravel,Female,University,65-69,,
Mining and quarrying of stone and gravel,Female,University,70+,,
Construction,Male,JuniorHigh,0-19,219800,910
Construction,Male,JuniorHigh,20-24,249800,3510
Construction,Male,JuniorHigh,25-29,282000,5270
Construction,Male,JuniorHigh,30-34,321200,6890
Construction,Male,JuniorHigh,35-39,341100,11810
Construction,Male,JuniorHigh,40-44,348300,10170
Construction,Male,JuniorHigh,45-49,338600,14980
Construction,Male,JuniorHigh,50-54,382800,18840
Construction,Male,JuniorHigh,55-59,406000,9260
Construction,Male,JuniorHigh,60-64,294800,7660
Construction,Male,JuniorHigh,65-69,292800,10060
Construction,Male,JuniorHigh,70+,241800,9220
Construction,Male,HighSchool,0-19,198900,16220
Construction,Male,HighSchool,20-24,229700,59350
Construction,Male,HighSchool,25-29,265600,62380
Construction,Male,HighSchool,30-34,304500,52970
Construction,Male,HighSchool,35-39,323300,54340
Construction,Male,HighSchool,40-44,346200,72390
Construction,Male,HighSchool,45-49,371900,107470
Construction,Male,HighSchool,50-54,390300,96130
Construction,Male,HighSchool,55-59,385200,82690
Construction,Male,HighSchool,60-64,343300,63820
Construction,Male,HighSchool,65-69,300900,36140
Construction,Male,HighSchool,70+,285800,20940
Construction,Male,VocationalSchool,0-19,,
Construction,Male,VocationalSchool,20-24,224900,9850
Construction,Male,VocationalSchool,25-29,265300,9830
Construction,Male,VocationalSchool,30-34,300200,12620
Construction,Male,VocationalSchool,35-39,343300,14170
Construction,Male,VocationalSchool,40-44,353400,16050
Construction,Male,VocationalSchool,45-49,412400,28190
Construction,Male,VocationalSchool,50-54,437200,22460
Construction,Male,VocationalSchool,55-59,425300,9200
Construction,Male,VocationalSchool,60-64,371700,8640
Construction,Male,VocationalSchool,65-69,345700,5980
Construction,Male,VocationalSchool,70+,329600,1120
Construction,Male,TechnicalSchoolJuniorCollege,0-19,,
Construction,Male,TechnicalSchoolJuniorCollege,20-24,232400,2960
Construction,Male,TechnicalSchoolJuniorCollege,25-29,269500,3470
Construction,Male,TechnicalSchoolJuniorCollege,30-34,301700,4730
Construction,Male,TechnicalSchoolJuniorCollege,35-39,351700,3080
Construction,Male,TechnicalSchoolJuniorCollege,40-44,388800,5280
Construction,Male,TechnicalSchoolJuniorCollege,45-49,415700,10400
Construction,Male,TechnicalSchoolJuniorCollege,50-54,481300,5720
Construction,Male,TechnicalSchoolJuniorCollege,55-59,474900,5440
Construction,Male,TechnicalSchoolJuniorCollege,60-64,466800,5640
Construction,Male,TechnicalSchoolJuniorCollege,65-69,370800,1970
Construction,Male,TechnicalSchoolJuniorCollege,70+,260900,540
Construction,Male,University,0-19,,
Construction,Male,University,20-24,250200,30010
Construction,Male,University,25-29,283000,51510
Construction,Male,University,30-34,325600,49310
Construction,Male,University,35-39,371200,40140
Construction,Male,University,40-44,439400,35610
Construction,Male,University,45-49,490900,52170
Construction,Male,University,50-54,546400,64570
Construction,Male,University,55-59,578300,50390
Construction,Male,University,60-64,434400,28150
Construction,Male,University,65-69,373900,15870
Construction,Male,University,70+,301300,6150
Construction,Female,JuniorHigh,0-19,,
Construction,Female,JuniorHigh,20-24,,
Construction,Female,JuniorHigh,25-29,194800,510
Construction,Female,JuniorHigh,30-34,228900,100
Construction,Female,JuniorHigh,35-39,272700,290
Construction,Female,JuniorHigh,40-44,252100,260
Construction,Female,JuniorHigh,45-49,295100,270
Construction,Female,JuniorHigh,50-54,258400,260
Construction,Female,JuniorHigh,55-59,270000,30
Construction,Female,JuniorHigh,60-64,293300,130
Construction,Female,JuniorHigh,65-69,152200,20
Construction,Female,JuniorHigh,70+,187800,860
Construction,Female,HighSchool,0-19,188100,1840
Construction,Female,HighSchool,20-24,210000,7770
Construction,Female,HighSchool,25-29,228600,5990
Construction,Female,HighSchool,30-34,253300,7250
Construction,Female,HighSchool,35-39,246100,7020
Construction,Female,HighSchool,40-44,240100,11490
Construction,Female,HighSchool,45-49,257300,18050
Construction,Female,HighSchool,50-54,268900,18910
Construction,Female,HighSchool,55-59,275400,13450
Construction,Female,HighSchool,60-64,243700,6560
Construction,Female,HighSchool,65-69,205400,2360
Construction,Female,HighSchool,70+,263200,1870
Construction,Female,VocationalSchool,0-19,,
Construction,Female,VocationalSchool,20-24,210100,2310
Construction,Female,VocationalSchool,25-29,232900,4060
Construction,Female,VocationalSchool,30-34,266300,3050
Construction,Female,VocationalSchool,35-39,251100,2300
Construction,Female,VocationalSchool,40-44,265400,4120
Construction,Female,VocationalSchool,45-49,263300,6350
Construction,Female,VocationalSchool,50-54,286800,6620
Construction,Female,VocationalSchool,55-59,307400,1840
Construction,Female,VocationalSchool,60-64,262100,1900
Construction,Female,VocationalSchool,65-69,248000,370
Construction,Female,VocationalSchool,70+,171400,50
Construction,Female,TechnicalSchoolJuniorCollege,0-19,,
Construction,Female,TechnicalSchoolJuniorCollege,20-24,217200,1290
Construction,Female,TechnicalSchoolJuniorCollege,25-29,246200,1780
Construction,Female,TechnicalSchoolJuniorCollege,30-34,246700,2360
Construction,Female,TechnicalSchoolJuniorCollege,35-39,252900,1640
Construction,Female,TechnicalSchoolJuniorCollege,40-44,276000,5420
Construction,Female,TechnicalSchoolJuniorCollege,45-49,293100,9290
Construction,Female,TechnicalSchoolJuniorCollege,50-54,299100,8020
Construction,Female,TechnicalSchoolJuniorCollege,55-59,308700,5820
Construction,Female,TechnicalSchoolJuniorCollege,60-64,249000,1970
Construction,Female,TechnicalSchoolJuniorCollege,65-69,215400,990
Construction,Female,TechnicalSchoolJuniorCollege,70+,205800,140
Construction,Female,University,0-19,,
Construction,Female,University,20-24,243300,12910
Construction,Female,University,25-29,267600,20960
Construction,Female,University,30-34,268300,12540
Construction,Female,University,35-39,273300,10260
Construction,Female,University,40-44,278800,6160
Construction,Female,University,45-49,307600,10890
Construction,Female,University,50-54,370300,7480
Construction,Female,University,55-59,343500,3740
Construction,Female,University,60-64,314700,1650
Construction,Female,University,65-69,217900,1350
Construction,Female,University,70+,282200,220
Manufacturing,Male,JuniorHigh,0-19,167300,810
Manufacturing,Male,JuniorHigh,20-24,210700,3020
Manufacturing,Male,JuniorHigh,25-29,220000,4140
Manufacturing,Male,JuniorHigh,30-34,253300,6020
Manufacturing,Male,JuniorHigh,35-39,284000,12070
Manufacturing,Male,JuniorHigh,40-44,296000,13840
Manufacturing,Male,JuniorHigh,45-49,298600,19990
Manufacturing,Male,JuniorHigh,50-54,348500,20290
Manufacturing,Male,JuniorHigh,55-59,331500,14040
Manufacturing,Male,JuniorHigh,60-64,263200,11610
Manufacturing,Male,JuniorHigh,65-69,237000,7270
Manufacturing,Male,JuniorHigh,70+,223100,5530
Manufacturing,Male,HighSchool,0-19,191900,70940
Manufacturing,Male,HighSchool,20-24,210000,210410
Manufacturing,Male,HighSchool,25-29,237700,201020
Manufacturing,Male,HighSchool,30-34,270600,227090
Manufacturing,Male,HighSchool,35-39,296200,240070
Manufacturing,Male,HighSchool,40-44,320300,275290
Manufacturing,Male,HighSchool,45-49,341600,331100
Manufacturing,Male,HighSchool,50-54,364700,355710
Manufacturing,Male,HighSchool,55-59,374800,304010
Manufacturing,Male,HighSchool,60-64,284400,168500
Manufacturing,Male,HighSchool,65-69,243900,44600
Manufacturing,Male,HighSchool,70+,237900,23690
Manufacturing,Male,VocationalSchool,0-19,,
Manufacturing,Male,VocationalSchool,20-24,212300,12080
Manufacturing,Male,VocationalSchool,25-29,228300,19260
Manufacturing,Male,VocationalSchool,30-34,254000,26800
Manufacturing,Male,VocationalSchool,35-39,281600,42280
Manufacturing,Male,VocationalSchool,40-44,318200,43510
Manufacturing,Male,VocationalSchool,45-49,334500,58920
Manufacturing,Male,VocationalSchool,50-54,368700,53230
Manufacturing,Male,VocationalSchool,55-59,396500,26520
Manufacturing,Male,VocationalSchool,60-64,298600,14210
Manufacturing,Male,VocationalSchool,65-69,278600,2720
Manufacturing,Male,VocationalSchool,70+,235700,470
Manufacturing,Male,TechnicalSchoolJuniorCollege,0-19,,
Manufacturing,Male,TechnicalSchoolJuniorCollege,20-24,223500,12620
Manufacturing,Male,TechnicalSchoolJuniorCollege,25-29,260100,15690
Manufacturing,Male,TechnicalSchoolJuniorCollege,30-34,282800,20560
Manufacturing,Male,TechnicalSchoolJuniorCollege,35-39,321900,22490
Manufacturing,Male,TechnicalSchoolJuniorCollege,40-44,379800,23960
Manufacturing,Male,TechnicalSchoolJuniorCollege,45-49,406200,26150
Manufacturing,Male,TechnicalSchoolJuniorCollege,50-54,463600,25080
Manufacturing,Male,TechnicalSchoolJuniorCollege,55-59,468700,21310
Manufacturing,Male,TechnicalSchoolJuniorCollege,60-64,358800,10060
Manufacturing,Male,TechnicalSchoolJuniorCollege,65-69,263400,2130
Manufacturing,Male,TechnicalSchoolJuniorCollege,70+,336400,710
Manufacturing,Male,University,0-19,,
Manufacturing,Male,University,20-24,237000,45860
Manufacturing,Male,University,25-29,258800,109690
Manufacturing,Male,University,30-34,287800,118620
Manufacturing,Male,University,35-39,346500,131370
Manufacturing,Male,University,40-44,382100,148050
Manufacturing,Male,University,45-49,437800,156800
Manufacturing,Male,University,50-54,486400,160520
Manufacturing,Male,University,55-59,532600,129240
Manufacturing,Male,University,60-64,372800,79810
Manufacturing,Male,University,65-69,322200,19710
Manufacturing,Male,University,70+,367300,8470
Manufacturing,Female,JuniorHigh,0-19,161800,140
Manufacturing,Female,JuniorHigh,20-24,174500,1420
Manufacturing,Female,JuniorHigh,25-29,206000,2810
Manufacturing,Female,JuniorHigh,30-34,185800,2540
Manufacturing,Female,JuniorHigh,35-39,187200,3290
Manufacturing,Female,JuniorHigh,40-44,191300,4110
Manufacturing,Female,JuniorHigh,45-49,200300,5390
Manufacturing,Female,JuniorHigh,50-54,199700,4160
Manufacturing,Female,JuniorHigh,55-59,234000,5020
Manufacturing,Female,JuniorHigh,60-64,180200,4550
Manufacturing,Female,JuniorHigh,65-69,169300,3760
Manufacturing,Female,JuniorHigh,70+,169000,2260
Manufacturing,Female,HighSchool,0-19,179400,41890
Manufacturing,Female,HighSchool,20-24,195700,100490
Manufacturing,Female,HighSchool,25-29,205000,59640
Manufacturing,Female,HighSchool,30-34,213700,57740
Manufacturing,Female,HighSchool,35-39,220600,61470
Manufacturing,Female,HighSchool,40-44,220900,84730
Manufacturing,Female,HighSchool,45-49,237400,115550
Manufacturing,Female,HighSchool,50-54,237500,133080
Manufacturing,Female,HighSchool,55-59,234400,107540
Manufacturing,Female,HighSchool,60-64,197000,67080
Manufacturing,Female,HighSchool,65-69,180200,21440
Manufacturing,Female,HighSchool,70+,187800,9330
Manufacturing,Female,VocationalSchool,0-19,,
Manufacturing,Female,VocationalSchool,20-24,193600,6820
Manufacturing,Female,VocationalSchool,25-29,204900,10460
Manufacturing,Female,VocationalSchool,30-34,214300,9460
Manufacturing,Female,VocationalSchool,35-39,221600,13290
Manufacturing,Female,VocationalSchool,40-44,217100,14640
Manufacturing,Female,VocationalSchool,45-49,235600,15230
Manufacturing,Female,VocationalSchool,50-54,263300,13920
Manufacturing,Female,VocationalSchool,55-59,228200,10050
Manufacturing,Female,VocationalSchool,60-64,206600,5930
Manufacturing,Female,VocationalSchool,65-69,211500,1910
Manufacturing,Female,VocationalSchool,70+,188400,170
Manufacturing,Female,TechnicalSchoolJuniorCollege,0-19,,
Manufacturing,Female,TechnicalSchoolJuniorCollege,20-24,208900,7680
Manufacturing,Female,TechnicalSchoolJuniorCollege,25-29,218900,13490
Manufacturing,Female,TechnicalSchoolJuniorCollege,30-34,230100,8750
Manufacturing,Female,TechnicalSchoolJuniorCollege,35-39,244000,12630
Manufacturing,Female,TechnicalSchoolJuniorCollege,40-44,262700,20510
Manufacturing,Female,TechnicalSchoolJuniorCollege,45-49,272400,35890
Manufacturing,Female,TechnicalSchoolJuniorCollege,50-54,297400,32780
Manufacturing,Female,TechnicalSchoolJuniorCollege,55-59,293900,17510
Manufacturing,Female,TechnicalSchoolJuniorCollege,60-64,223600,9610
Manufacturing,Female,TechnicalSchoolJuniorCollege,65-69,210800,1320
Manufacturing,Female,TechnicalSchoolJuniorCollege,70+,241800,220
Manufacturing,Female,University,0-19,,
Manufacturing,Female,University,20-24,230400,26910
Manufacturing,Female,University,25-29,247000,50640
Manufacturing,Female,University,30-34,264300,35810
Manufacturing,Female,University,35-39,283500,32500
Manufacturing,Female,University,40-44,310700,31960
Manufacturing,Female,University,45-49,332600,26760
Manufacturing,Female,University,50-54,338400,21210
Manufacturing,Female,University,55-59,402500,9760
Manufacturing,Female,University,60-64,269200,4920
Manufacturing,Female,University,65-69,192000,930
Manufacturing,Female,University,70+,225400,140
"Electricity, gas, heat supply and water",Male,JuniorHigh,0-19,166000,0
"Electricity, gas, heat supply and water",Male,JuniorHigh,20-24,244900,10
"Electricity, gas, heat supply and water",Male,JuniorHigh,25-29,206100,0
"Electricity, gas, heat supply and water",Male,JuniorHigh,30-34,203500,10
"Electricity, gas, heat supply and water",Male,JuniorHigh,35-39,323100,30
"Electricity, gas, heat supply and water",Male,JuniorHigh,40-44,296600,40
"Electricity, gas, heat supply and water",Male,JuniorHigh,45-49,421500,370
"Electricity, gas, heat supply and water",Male,JuniorHigh,50-54,466800,910
"Electricity, gas, heat supply and water",Male,JuniorHigh,55-59,431600,440
"Electricity, gas, heat supply and water",Male,JuniorHigh,60-64,247300,300
"Electricity, gas, heat supply and water",Male,JuniorHigh,65-69,201400,10
"Electricity, gas, heat supply and water",Male,JuniorHigh,70+,217900,20
"Electricity, gas, heat supply and water",Male,HighSchool,0-19,187700,1060
"Electricity, gas, heat supply and water",Male,HighSchool,20-24,217700,4570
"Electricity, gas, heat supply and water",Male,HighSchool,25-29,277100,4970
"Electricity, gas, heat supply and water",Male,HighSchool,30-34,331700,4880
"Electricity, gas, heat supply and water",Male,HighSchool,35-39,361600,2440
"Electricity, gas, heat supply and water",Male,HighSchool,40-44,418900,5050
"Electricity, gas, heat supply and water",Male,HighSchool,45-49,463000,10770
"Electricity, gas, heat supply and water",Male,HighSchool,50-54,505400,10510
"Electricity, gas, heat supply and water",Male,HighSchool,55-59,497400,9790
"Electricity, gas, heat supply and water",Male,HighSchool,60-64,257800,5200
"Electricity, gas, heat supply and water",Male,HighSchool,65-69,251400,770
"Electricity, gas, heat supply and water",Male,HighSchool,70+,316300,120
"Electricity, gas, heat supply and water",Male,VocationalSchool,0-19,,
"Electricity, gas, heat supply and water",Male,VocationalSchool,20-24,229400,40
"Electricity, gas, heat supply and water",Male,VocationalSchool,25-29,248400,120
